icao,iata,name,callsign,country,active
710,"",BA101,"",United Kingdom,Y
???,??,Court Line,"",United Kingdom,N
AAZ,"",Angus Aviation,ANGUS,Canada,N
ABF,"",Aerial Oy,SKYWINGS,Finland,N
ABI,U1,Aviabus,"",Russia,Y
AEP,"",Aerotec,AEROTEC,Spain,N
AEW,VV,Aerosvit Airlines,AEROSVIT,Ukraine,Y
AFY,"",Africa Chartered Services,AFRICA CHARTERED,Nigeria,N
AFZ,"",Africa Freight Services,AFREIGHT,Zambia,N
AGX,"",Aviogenex,GENEX,Serbia,Y
AHH,"",Airplanes Holdings,AIRHOLD,Ireland,N
AHI,"",Servicios Aereos de Chihuahua Aerochisa,AEROCHISA,Mexico,N
AHR,"",Air Adriatic,ADRIATIC,Croatia,N
AKZ,"",AK Navigator LLC,ABSOLUTE,Kazakhstan,N
AMQ,"",Aeromedicare Ltd.,LIFELINE,United Kingdom,N
ANH,"",Alajnihah for Air Transport,ALAJNIHAH,Libya,N
AOK,"",Aeroatlantico Colombia,"",Colombia,N
AOR,"",Afro International Ent. Limited,INTER-AFRO,Nigeria,N
AOU,"",Air Tractor,AIR TRACTOR,Croatia,N
AOV,"",Aero Vision,AEROVISION,France,N
APF,"",Amapola Flyg AB,AMAPOLA,Sweden,N
AQN,"",Air Queensland,BUSHAIR,Australia,N
ATT,"",Aer Turas,AERTURAS,Ireland,N
ATW,"",Aero Trades (Western) Ltd.,AERO TRADES,Canada,N
AXV,"",Aviaxess,AXAVIA,France,N
AYS,"",Awsaj Aviation Services,"",Libya,N
AZU,AD,Azul,"",Brazil,Y
AZX,"",Air Max Africa,AZIMA,Gabon,N
BBE,"",Ababeel Aviation,BABEL AIR,Sudan,N
BBO,F7,Flybaboo,BABOO,Switzerland,Y
BDN,"",DERA Boscombe Down,GAUNTLET,United Kingdom,N
BEF,"",Balear Express,BALEAR EXPRESS,Spain,N
BFA,"",Presidence Du Faso,"",Burkina Faso,N
BHI,"",Balkh Airlines,SHARIF,Afghanistan,N
BHR,"",Bighorn Airways,BIGHORN AIR,United States,N
BHV,"",Specavia Air Company,AVIASPEC,Russia,N
BLC,"",Bellesavia,BELLESAVIA,Belarus,N
BLF,KF,Blue1,BLUEFIN,Finland,Y
BNV,"",Benane Aviation Corporation,BENANE,Mauritania,N
BPK,"",Berkhut ZK,VENERA,Kazakhstan,N
BPX,"",British Petroleum Exploration,"",Colombia,N
BYR,"",Berytos Airlines,"",Lebanon,N
BZD,"",Canadian Global Air Ambulance,BLIZZARD,Canada,N
CAG,"",China National Aviation Corporation,CHINA NATIONAL,China,N
CCA,CA,Air China,AIR CHINA,China,Y
CCF,"",CCF Manager Airline,TOMCAT,Germany,N
CCY,"",Cherry Air,CHERRY,United States,N
CDU,"",Aerotrans,"",Russia,N
CEL,"",CEIBA Intercontinental,CEIBA LINE,Equatorial Guinea,Y
CGV,"",Aero Clube Do Algarve,CLUBE ALGARVE,Portugal,N
CHD,"",223 Flight Unit State Airline,CHKALOVSK-AVIA,Russia,N
CHS,"",Challenge Aviation,CHALLENGE AVIATION,Australia,N
CIG,"",Sirius-Aero,SIRIUS AERO,Russia,N
CJR,"",Caverton Helicopters,CAVERTON AIR,Nigeria,N
CMX,"",El Caminante Taxi Aereo,EL CAMINANTE,Mexico,N
CNB,"",Cityline Hungary,CITYHUN,Hungary,N
CNN,10,Canadian World,Canadian,Canada,N
CNT,"",CNET,KNET,France,N
CPM,"",Compagnie Mauritanienne Des Transports,"",Mauritania,N
CPZ,CP,Compass Airlines,Compass Rose,United States,Y
CR7,C7,Sky Wing Pacific,"",South Korea,Y
CSD,"",Courier Services,DELIVERY,United States,N
CSH,FM,Shanghai Airlines,SHANGHAI AIR,China,Y
CSJ,"",Castle Aviation,CASTLE,United States,N
CST,BX,Coast Air,COAST CENTER,Norway,N
CUT,"",Court Helicopters,COURT AIR,South Africa,N
CWP,"",Australian Customs Service,COASTWATCH,Australia,N
DEE,"",Dixie Airways,TACAIR,United States,N
DEG,"",Air Service Groningen,DEGGER,Netherlands,N
DLI,"",Delta Express International,DELTA EXPRESS,Ukraine,N
DNR,"",Dynamair Aviation,DYNAMAIR,Canada,N
DRN,"",Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,N
DST,"",Aex Air,DESERT,United States,N
DSV,"",Direct Aero Services,"",Romania,Y
EAK,"",Euro-Asia Air,EAKAZ,Kazakhstan,N
EBJ,"",European Business Jets,"",United Kingdom,N
EDJ,"",Edwards Jet Center of Montana,EDWARDS,United States,N
EDR,"",Lineas Aereas Eldorado,ELDORADRO,Colombia,N
EFG,"",Elifriulia,ELIFRIULIA,Italy,N
EGF,MQ,American Eagle Airlines,EAGLE FLIGHT,United States,Y
EMD,"",Eaglemed (Ballard Aviation),EAGLEMED,United States,N
EPB,"",Eastern Pacific Aviation,EAST PAC,Canada,N
ERK,"",Aerosec,AEROSEC,Chile,N
ESU,"",Aerolineas Ejecutivas Del Sureste,ALESUR,Mexico,N
ETC,"",ATTICO,TRANATTICO,Sudan,N
ETD,EY,Etihad Airways,ETIHAD,United Arab Emirates,Y
ETN,"",Chim-Nir Aviation,CHMINIR,Israel,N
EXT,"",Night Express,EXECUTIVE,Germany,N
EYE,"",F.S. Air Service,SOCKEYE,United States,N
EZA,"",Eznis Airways,EZNIS,Mongolia,Y
EZY,U2,easyJet,EASY,United Kingdom,Y
FEX,"",Flightexec,FLIGHTEXEC,Canada,N
FFI,"",Infinit Air,INFINIT,Spain,N
FFU,"",GEC Marconi Avionics,FERRANTI,United Kingdom,N
FFY,"",Fun Flying Thai Air Service,FUN FLYING,Thailand,N
FGC,"",Departmento De Agricultura De La Generalitat De Cataluna,FORESTALES,Spain,N
FGP,"",Flying-Research Aerogeophysical Center,FLYING CENTER,Russia,N
FI5,F5,Fly One,"",Moldova,Y
FIL,"",Fly Line,FLYLINE,Spain,N
FJE,"",Silverjet,ENVOY,United Kingdom,N
FLN,"",Flamingo Air-Line,ILIAS,Kazakhstan,N
FRJ,"",Afrijet Airlines,AFRIJET,Nigeria,N
FSC,HK,Four Star Aviation / Four Star Cargo,FOUR STAR,United States,N
FSR,"",Flightstar Corporation,FLIGHTSTAR,United States,N
FUN,"",Funtshi Aviation Service,FUNTSHI,Democratic Republic of the Congo,N
FXL,"",Fly Excellent,FLY EXCELLENT,Sweden,N
FYG,"",Flying Service,FLYING GROUP,Belgium,N
FZA,"",Fuzhou Airlines,"",China,Y
GAI,3R,Moskovia Airlines,GROMOV AIRLINE,Russia,Y
GBL,GT,GB Airways,GEEBEE AIRWAYS,United Kingdom,Y
GCC,"",GECAS,GECAS,Ireland,N
GDE,"",Servicios Aereos Gadel,GADEL,Mexico,N
GEG,"",Georgian Airlines,"",Georgia,N
GGS,"",GATSA,GATSA,Mexico,N
GGV,"",Houston Jet Services,GREGG AIR,Austria,N
GHT,"",Ghadames Air Transport,"",Libya,N
GIZ,"",Africa Airlines,AFRILENS,Guinea,N
GLD,"",Golden Star Air Cargo,GOLDEN STAR,Sudan,N
GLQ,"",El Quilada International Aviation,QUILADA,Sudan,N
GNJ,"",Gain Jet Aviation,HERCULES JET,Greece,N
GOB,"",Dash Aviation,PILGRIM,United Kingdom,N
GTA,E8,City Airways,CITY AIR,Thailand,Y
GUA,"",Aerotaxis de Aguascalientes,AGUASCALIENTES,Mexico,N
GZD,"",Grizodubova Air Company,GRIZODUBOVA AIR,Russia,N
HAK,"",Pegasus Helicopters,HELIFALCON,Norway,N
HAT,"",Air Taxi,TAXI BIRD,France,N
HCY,ZU,Helios Airways,HELIOS,Cyprus,N
HDA,KA,Dragonair, Hong Kong Dragon Airlines,DRAGON,Y
HHA,"",Atlantic Airlines de Honduras,ATLANTIC HONDURAS,Honduras,N
HIN,"",Holding International Group,HOLDING GROUP,Mexico,N
HJL,"",Hamlin Jet,BIZJET,United Kingdom,N
HOR,"",Horizon Air-Taxi,HORIZON,Switzerland,N
HRA,"",Heli-Iberica,ERICA,Spain,N
HTI,"",Haiti International Air,HAITI INTERNATIONAL,Haiti,N
HTN,"",Haiti North Airline,"",Haiti,N
HVN,VN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam,Y
HYD,"",Hydro-Québec,HYDRO,Canada,N
IAF,"",Israeli Air Force,"",Israel,N
IBL,"",IBL Aviation,CATOVAIR,Mauritius,N
ICB,"",Icebird Airline,ICEBIRD,Iceland,N
ICD,"",Icaro,ICARO,Ecuador,N
ICP,"",Intercopters,CHOPER,Spain,N
IDR,"",Indicator Company,INDICATOR,Hungary,N
IFF,"",Interfreight Forwarding,INTERFREIGHT,Sudan,N
IIN,H4,Inter Islands Airlines,"",Cape Verde,N
IKR,"",Ikaros DK,IKAROS,Denmark,N
IPL,"",Airpull Aviation,IPULL,Spain,N
IRB,"",Iranair Tours,"",Iran,N
IRD,"",Arvand Airlines,ARVAND,Iran,N
IRF,"",TA-Air Airline,TA-AIR,Iran,N
IVR,"",Burundaiavia,RERUN,Kazakhstan,N
JAE,"",Jade Cargo International,JADE CARGO,China,N
JAW,"",Jamahiriya Airways,JAW,Libya,N
JEX,JC,JAL Express,JANEX,Japan,Y
JGN,"",Jagson Airlines,JAGSON,India,Y
JKK,JK,Spanair,SPANAIR,Spain,Y
JMC,"",JMC Airlines,JAYEMMSEE,United Kingdom,N
JSR,JX,Jusur airways,"",Egypt,Y
KAJ,"",Karthago Airlines,KARTHAGO,Tunisia,N
KAP,9K,Cape Air,CAIR,United States,Y
KDC,"",K D Air Corporation,KAY DEE,Canada,N
KHR,"",Khazar,KHAZAR,Turkmenistan,N
KLC,WA,KLM Cityhopper,CITY,Netherlands,Y
KNM,"",Komsomolsk-on-Amur Air Enterprise,KNAAPO,Russia,N
KOL,CQ,SOCHI AIR,SLOW FROG,Russia,Y
KOV,"",Orlan-2000,ORLAN,Kazakhstan,N
KYA,"",Alghanim,"",United States,Y
KZH,"",Zhez Air,"",Kazakhstan,N
KZR,KC,Air Astana,ASTANALINE,Kazakhstan,Y
KZS,"",Kazaviaspas,SPAKAZ,Kazakhstan,N
LCG,"",Lignes Aeriennes Congolaises,CONGOLAISE,Democratic Republic of the Congo,N
LIE,"",Al-Dawood Air,AL-DAWOOD AIR,Nigeria,N
LKL,"",Lakeland Aviation,LAKELAND,United States,N
LKR,"",Laker Airways,LAKER,United States,N
LKS,"",Airlink Solutions,AIRLIN,Spain,N
LLC,"",FlyLAL Charters,"",Lithuania,Y
LMA,"",Aerolima,AEROLIMA,Mexico,N
LTC,"",LatCharter,LATCHARTER,Latvia,Y
LTF,DV,Lufttaxi Fluggesellschaft,Garfield,Germany,N
LUC,"",Alninati Aeronautics,STEF,Switzerland,N
LXF,"",Lynx Air International,LYNX FLIGHT,United States,N
MAR,"",March Helicopters,MARCH,United Kingdom,N
MBE,"",Martin-Baker,MARTIN,United Kingdom,N
MCC,"",MCC Aviation,DISCOVERY,South Africa,N
MDC,"",Atlantic Aero and Mid-Atlantic Freight,NIGHT SHIP,United States,N
MDF,"",Mediterranean Air Freight,MED-FREIGHT,Greece,N
MDL,RI,Mandala Airlines,MANDALA,Indonesia,Y
MDY,"",Mediterranean Airways,"",Egypt,N
MEF,"",Air Meridan,EMPENNAGE,Nigeria,N
MGK,"",Mega,MEGLA,Kazakhstan,N
MHN,"",Manhattan Air,MANHATTAN,United Kingdom,N
MJX,4L,Euroline,GEO-LINE,Georgia,Y
MKH,"",Air Marrakech Service,AIR MARRAKECH,Morocco,N
MLD,9U,Air Moldova,AIR MOLDOVA,Moldova,Y
MLE,"",Moldaeroservice,MOLDAERO,Moldova,N
MOW,"",Mowhawk Airlines,MOHAWK AIR,United States,N
MRG,"",MANAG'AIR,MANAG'AIR,France,N
MRR,2G,San Juan Airlines,MARINER,United States,N
MWA,MY,Midwest Airlines (Egypt),"",Egypt,Y
MWS,"",Malta Wings,MALTA WINGS,Malta,N
MXD,OD,Malindo Air,Malindo,Malaysia,Y
MXU,"",Maximus Air Cargo,CARGO MAX,United Arab Emirates,N
N/A,-,Unknown,,,Y
NDA,"",Northern Airways,NORTHERN DAKOTA,United States,N
NDC,LF,FlyNordic,NORDIC,Sweden,Y
NDN,"",Transportes Aereos Cielos Andinos,ANDINOS,Peru,Y
NEB,"",State of Nebraska,NEBRASKA,United States,N
NEG,"",Linea Aerea de Fumig Aguas Negras,AGUAS NEGRAS,Chile,N
NGK,"",Oriental Air Bridge,ORIENTAL BRIDGE,Japan,N
NGR,"",Nigerian Air Force,NIGERIAN AIRFORCE,Nigeria,N
NHG,"",NHT Lineas Aereas,HELGA,Brazil,N
NKF,8N,Barents AirLink,NORDFLIGHT,Sweden,Y
NLH,DU,Norwegian Long Haul AS,NORSTAR,Norway,Y
NOF,"",Fonnafly,FONNA,Norway,N
NRV,"",North Vancouver Airlines,NORVAN,Canada,N
NSW,"",Country Connection Airlines,"",Australia,N
NTX,"",Northern Jet Management,NORTAX,United States,N
NXA,"",Air Next,BLUE-DOLPHIN,Japan,N
OAV,"",Omni - Aviacao e Tecnologia,OMNI,Portugal,N
OGJ,"",Bakoji Airlines Services,BAKO AIR,Nigeria,N
OKS,S0,Slok Air Gambia,SLOK GAMBIA,Gambia,N
OKT,"",Soko Aviation,SOKO AIR,Spain,N
OMG,"",Aeromega,OMEGA,United Kingdom,N
ORL,"",On Air Limited,ON AIR,Canada,N
OSW,"",JetAfrica Swaziland,BEVO,Swaziland,N
OTM,"",Onetime Airlines Zambia,ZEDTIME,Zambia,N
OVA,"",Aero Nova,AERONOVA,Spain,N
OYE,"",Koda International,KODA AIR,Nigeria,N
OZR,OZ,Ozark Air Lines,OZARK,United States,N
PAT,"",Priority Air Transport,PAT,United States,N
PAV,"",VIP Avia,NICOL,Kazakhstan,N
PBD,"",Pobeda,POBEDA,Russia,Y
PDC,BK,Potomac Air,DISTRICT,United States,Y
PEN,KS,Peninsula Airways,PENINSULA,United States,Y
PGA,NI,Portugalia,PORTUGALIA,Portugal,Y
PHI,"",Philips Aviation Services,PHILAIR,Netherlands,N
PMU,"",Premium Aviation,PREMIUM,Germany,N
PNW,PF,Palestinian Airlines,PALESTINIAN,Egypt,N
PRD,"",Presidential Aviation,PRESIDENTIAL,United States,N
PRE,"",Precision Airlines,PRECISION,United States,N
PSA,"",Pacific Island Aviation,PACIFIC ISLE,United States,Y
PSF,"",Plymouth School of Flying,LIZARD,United Kingdom,N
QAX,C3,QatXpress,"",Qatar,Y
R1R,1R,All America CL,"",Chile,Y
RBN,"",Red Baron Aviation,RED BARON,United States,N
REL,"",Reliance Aviation,RELIANCE AIR,United States,N
REN,"",Aero-Rent,AERORENT,Mexico,N
REX,"",Ram Air Freight,RAM EXPRESS,United States,N
RHC,8L,Redhill Aviation,REDAIR,United Kingdom,N
RHL,"",Air Archipels,ARCHIPELS,France,N
RKT,"",Rotormotion,ROCKET,United Kingdom,N
RME,"",Armenian Airlines,ARMENIAN,Armenia,N
RMU,"",C.S.P., Societe,AIR-MAUR,N
RSB,"",Rubystar,RUBYSTAR,Belarus,N
RUA,"",Rwanda Airlines,"",Rwanda,N
RUC,"",Rutas Aereas,RUTACA,Venezuela,N
RUD,"",Air Anastasia,ANASTASIA,Ukraine,N
RVI,"",Aero Servicios,AERO SERVICIOS,Mexico,N
RVM,"",River Ministries Air Charter,RIVER,South Africa,N
RWA,"",Rwanda Airways,"",Rwanda,N
RXR,RR,REXAIR VIRTUEL,Rexair,France,Y
RYB,"",Royal Bahrain Airlines,ROYAL BAHRAIN,Bahrain,N
RZZ,"",Anoka Air Charter,RED ZONE,United States,N
SAM,"",SAM Colombia,SAM,Colombia,N
SAS,SK,Scandinavian Airlines System,SCANDINAVIAN,Sweden,Y
SAU,"",United Aviation Services,UNISERVE,Spain,N
SBR,"",Saber Aviation,FREIGHTER,United States,N
SBX,"",North Star Air Cargo,SKY BOX,United States,N
SCT,"",SAAB-Aircraft,SAAB-CRAFT,Sweden,N
SCW,TF,Malmö Aviation,Scanwings,Sweden,Y
SDY,2S,Island Express,SANDY ISLE,United States,N
SEO,"",Selcon Airlines,SELCON AIR,Nigeria,N
SFB,"",Air Sofia,AIR SOFIA,Bulgaria,N
SFE,"",Sefofane Air Charters,SEFOFANE,South Africa,N
SGF,"",STAC Swiss Government Flights,STAC,Switzerland,N
SHC,"",Sky Harbor Air Service,SKY HARBOR CHEYENNE,United States,N
SKB,SX,Skybus Airlines,SKYBUS,United States,N
SKN,"",Skyline Aviation Services,SKYLINER,United States,N
SLA,LJ,Sierra National Airlines,SELAIR,Sierra Leone,N
SNL,"",Soonair Lines,SOONAIR,United States,N
SNO,"",Delta Air Charter,SNOWBALL,Canada,N
SQA,"",Slovak National Aeroclub,SLOVAK AEROCLUB,Slovakia,N
SRI,"",Air Safaris and Services,AIRSAFARI,New Zealand,N
SSQ,"",Sunstate Airlines,SUNSTATE,Australia,N
SST,"",Sunwest Airlines,SUNFLIGHT,Canada,N
STW,"",South West Air Corporation,SIERRA WHISKEY,Philippines,N
SVK,GM,Air Slovakia,SLOVAKIA,Slovakia,N
SWF,"",Galair International,GALAIR,United Kingdom,N
SWL,"",Trans Jet Airways,TRANSJET,Sweden,N
SWO,"",Surninam International Victory Airline,SIVA,Suriname,N
SZT,"",Servicios Aeronauticos Z,AERO ZEE,Mexico,N
TAM,JJ,TAM Brazilian Airlines,TAM,Brazil,Y
TBA,"",Transbrasil,TRANSBRASIL,Brazil,N
TCG,T2,Thai Air Cargo,THAI CARGO,Thailand,Y
TCX,MT,Thomas Cook Airlines,KESTREL,United Kingdom,Y
TER,"",Territorial Airlines,TERRI-AIRE,United States,N
TFO,"",Transportes Aereos del Pacifico,TRANSPORTES PACIFICO,Mexico,N
TGM,"",TAG Aviation Espana,TAG ESPANA,Spain,N
TJA,TJ,T.J. Air,T.J. Air,United States,Y
TKS,"",Tomsk-Avia,"",Russia,Y
TMH,"",Taxis Turisticos Marakame,TAXIMARAKAME,Mexico,N
TMM,"",TMC Airlines,WILLOW RUN,United States,N
TNC,"",National Aviation Consultants,NATCOM,Canada,N
TNO,"",Aerotransporte de Carga Union,AEROUNION,Mexico,N
TNY,"",Twin Town Leasing Company,TWINCAL,United States,N
TOL,TI,Tol-Air Services,TOL AIR,United States,N
TOY,"",Toyota Canada,TOYOTA,Canada,N
TPB,"",Aero Tropical,AERO TROPICAL,Angola,N
TPG,"",Transportes Aereos Pegaso,TRANSPEGASO,Mexico,N
TQS,"",Aeroturquesa,AEROTURQUESA,Mexico,N
TRA,HV,Transavia Holland,TRANSAVIA,Netherlands,Y
TRP,"",Maryland State Police,TROOPER,United States,N
TRW,"",Transwestern Airlines of Utah,TRANS-WEST,United States,N
TSO,UN,Transaero Airlines,TRANSOVIET,Russia,Y
TSY,"",Tristar Air,TRIPLE STAR,Egypt,N
TXO,"",Taxis Aereos de Sinaloa,TAXIS SINALOA,Mexico,N
UAK,"",Kiev Aviation Plant,AVIATION PLANT,Ukraine,N
UCO,"",Ucoaviacion,UCOAVIACION,Spain,N
UEJ,"",Jetcorp,JETCORP,United States,N
UIA,B7,Uni Air,Glory,Taiwan,Y
UJX,"",AtlasGlobal Ukraine,Atlas Ukraine,Ukraine,Y
UKA,"",Buzzaway Limited,UKAY,United Kingdom,N
UTG,"",UTAGE,UTAGE,Equatorial Guinea,N
UYC,UY,Cameroon Airlines,CAM-AIR,Cameroon,N
VAN,"",Caravan Air,CAMEL,Mauritania,N
VC9,9V,Volotea Costa Rica,"",Costa Rica,Y
VDO,"",Servicios Aereos Avandaro,AVANDARO,Mexico,N
VDR,"",Air Vardar,VARDAR,Macedonia,N
VGC,"",Vanguardia en Aviacion en Colima,VANGUARDIA COLIMA,Mexico,N
VI4,4S,Vuola Italia,"",Italy,Y
VLU,VF,Valuair,VALUAIR,Singapore,Y
VNA,"",Empresa Aviacion Interamericana,EBBA,Uruguay,N
VOG,"",Voyager Airlines,VOYAGER AIR,Bangladesh,N
VRL,"",Voar Lda,VOAR LINHAS,Angola,N
VSO,"",Voronezh Aircraft Manufacturing Society,VASO,Russia,N
VUR,"",Vuelos Internos Privados VIP,VIPEC,Ecuador,N
VUS,"",Vuela Bus,VUELA BUS,Mexico,N
WAT,"",Wings Air Transport,"",Sudan,N
WE1,W1,World Experience Airline,WEA,Canada,Y
WEX,"",Wings Express,WINGS EXPRESS,United States,N
WFO,"",Wilbur's Flight Operations,WILBURS,United States,N
WOK,"",Kovar Air,WOKAIR,Czech Republic,N
WSC,"",Westair Cargo Airlines,WESTCAR,Cote d'Ivoire,N
XAR,"",Travel Express Aviation Services,TRAVEL EXPRESS,Indonesia,N
XFS,"",American Flight Service Systems,"",United States,N
XJC,"",Xclusive Jet Charter Limited,EXCLUSIVE JET,United Kingdom,N
XPA,"",Pan Am Weather Systems,"",United States,N
XPR,"",Air-Rep,"",United States,N
XRA,"",Intensive Air,INTENSIVE,South Africa,N
XSA,"",Spectrum Air Service,"",United States,N
YOG,"",Central Aviation,YOGAN AIR,United States,N
ZAK,K8,Airlink Zambia,"",Zambia,N
--+,-+,U.S. Air,"",United States,Y
666,B0,Aws express,aws,United States,Y
8K8,88,All Australia,"",Australia,Y
AAX,"",Afric'air Express,AFREX,Ivory Coast,N
ABL,BX,Air Busan,Air Busan,Republic of Korea,Y
ABZ,"",ATA Brasil,ATA-BRAZIL,Brazil,N
ACI,SB,Air Caledonie International,AIRCALIN,France,Y
ACK,DV,Nantucket Airlines,ACK AIR,United States,N
ACN,"",Central American Airlines,AEROCENTRO,Nicaragua,N
ACV,"",Air Charter Service,"",United Kingdom,N
AEN,"",Aeroenlaces Nacionales,"",Mexico,N
AET,"",Aeronautical Radio of Thailand,AEROTHAI,Thailand,N
AGH,"",Altagna,ALTAGNA,France,N
AGY,"",Aero Flight Service,FLIGHT GROUP,United States,N
AHD,"",Czech Air Handling,AIRHANDLING,Czech Republic,N
AHO,HH,Air Hamburg (AHO),Air Hamburg,Germany,Y
AHY,J2,Azerbaijan Airlines,AZAL,Azerbaijan,Y
AII,"",Air Integra,INTEGRA,Canada,N
AIO,"",United States Air Force,AIR CHIEF,United States,Y
AJB,"",Aero JBR,AERO JBR,Mexico,N
AKN,"",Alkan Air,ALKAN AIR,Canada,N
ALM,"",Air ALM,ANTILLEAN,Netherlands Antilles,N
AMO,"",Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,N
ANC,"",Anglo Cargo,ANGLO,United Kingdom,N
ANW,"",Aviacion Del Noroeste, S.A. de C.V.,AVINOR,N
AOM,IW,AOM French Airlines,French Lines,France,N
AOW,2Y,Air Andaman (2Y),AIR ANDAMAN,Thailand,N
ARG,AR,Aerolineas Argentinas,ARGENTINA,Argentina,Y
ARS,"",Aeromet Servicios,METSERVICE,Chile,N
ASN,"",Air and Sea Transport, ,Russia,N
ATM,FO,Airlines Of Tasmania,AIRTAS,Australia,Y
ATS,"",Air Transport Service,"",Democratic Republic of the Congo,N
AUT,AU,Austral Lineas Aereas,AUSTRAL,Argentina,Y
AVB,"",Aviation Beaufort,BEAUPAIR,United Kingdom,N
AVJ,"",Avia Traffic Company,ATOMIC,Kyrgyzstan,N
AVO,"",Aviation at Work,AVIATION WORK,South Africa,N
AWR,"",Arctic Wings And Rotors Ltd.,ARCTIC WINGS,Canada,N
AWV,"",Airwave Transport, Inc.,AIRWAVE,N
AXB,IX,Air India Express,EXPRESS INDIA,India,Y
AYU,"",Yuhi Air Lines,"",Japan,N
AZF,"",Air Zermatt AG,AIR ZERMATT,Switzerland,N
AZK,"",Azalhelikopter,AZALHELICOPTER,Azerbaijan,N
AZW,UM,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,Y
BA1,B1,Baltic Air lines,Baltic,Latvia,Y
BBB,VD,SwedJet Airways,BLACKBIRD,Sweden,N
BBR,S3,Santa Barbara Airlines,SANTA BARBARA,Venezuela,Y
BCN,"",Ocean Air,BLUE OCEAN,Mauritania,Y
BFL,J4,Buffalo Airways,BUFFALO,Canada,N
BFW,"",Bahrain Defence Force,SUMMAN,Bahrain,N
BIS,"",Irbis Air,IRBIS,Kazakhstan,N
BIZ,"",Bizjet Ltd,BIZZ,United Kingdom,N
BJC,"",Baltic Jet Aircompany,BALTIC JET,Latvia,N
BLB,"",Blue Bird Aviation,BLUEBIRD SUDAN,Sudan,N
BLR,"",Atlantic Coast Airlines,BLUE RIDGE,United States,N
BLW,"",Wermlandsflyg AB,BLUESTAR,Sweden,N
BOO,"",Bookajet Limited,BOOKAJET,United Kingdom,N
BOU,BO,Bouraq Indonesia Airlines,BOURAQ,Indonesia,N
BRG,8E,Bering Air,BERING AIR,United States,Y
BRV,K6,Bravo Air Congo,BRAVO,Democratic Republic of the Congo,N
BTK,"",Baltyka,BALTYKA,Ukraine,N
BUC,"",Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria,N
BUE,"",Orebro Aviation,BLUELIGHT,Sweden,N
BVV,"",Spark+ Joint-Stock Company,SPARK,Russia,N
CAI,"",Corendon Airlines,CORENDON,Turkey,Y
CAR,"",Inter RCA,QUEBEC ROMEO,Central African Republic,N
CDP,Q6,Aero Condor Peru,CONDOR-PERU,Peru,Y
CEY,"",Air Century,"",Dominican Republic,Y
CFG,DE,Condor Flugdienst,CONDOR,Germany,Y
CGW,"",Air Great Wall,CHANGCHENG,China,N
CHH,HU,Hainan Airlines,HAINAN,China,Y
CIC,"",ICC Canada,AIR TRADER,Canada,N
CIM,QI,Cimber Air,CIMBER,Denmark,Y
CIO,"",Il Ciocco International Travel Service,CIOCCO,Italy,N
CLN,"",Barnes Olsen Aeroleasing,SEELINE,United Kingdom,N
CLS,"",Challenge Air Transport,AIRISTO,Germany,N
CLU,"",Triple Alpha,CAROLUS,Germany,N
CLY,"",Clay Lacy Aviation,CLAY-LACY,United States,N
CML,"",Commander Air Charter,COMMANDAIR,Canada,N
CMM,"",Compagnie Aerienne du Mali,CAMALI,Mali,N
COO,"",Corporate Airlink,CORPORATE,Canada,N
COY,"",Coyne Aviation,COYNE AIR,United Kingdom,N
COZ,F5,Cosmic Air,COSMIC AIR,Nepal,N
CPF,"",ATS Private Company,TECHSERVICE,Ukraine,N
CPO,"",Corporate Aircraft Company,MOKAN,United States,N
CRP,"",Aerotransportes Corporativos,AEROTRANSCORP,Mexico,N
CSV,"",Coastal Travels,COASTAL TRAVEL,Tanzania,N
CTS,"",Center-South,CENTER-SOUTH,Russia,N
CTZ,"",CATA L,CATA,Argentina,N
CVG,"",Carill Aviation,CARILL,United Kingdom,N
CWD,"",Caernarfon Airworld,AMBASSADOR,United Kingdom,N
CXA,MF,Xiamen Airlines,XIAMEN AIR,China,Y
CYC,"",Cyprair Tours,CYPRAIR,Cyprus,N
CYN,"",Zhongyuan Aviation,ZHONGYUAN,China,N
CYP,CY,Cyprus Airways,CYPRUS,Cyprus,Y
CYT,"",Crystal Shamrock,CRYSTAL-AIR,United States,N
DAO,D3,Daallo Airlines,DALO AIRLINES,Djibouti,Y
DBJ,"",Duchess of Britany (Jersey) Limited,DUCHESS,United Kingdom,N
DES,"",Chilcotin Caribou Aviation,CHILCOTIN,Canada,N
DGX,"",Dasnair,DASNA,Switzerland,N
DHC,"",De Havilland,DEHAVILLAND,Canada,N
DLH,LH,Lufthansa,LUFTHANSA,Germany,Y
DNM,"",Denim Air,DENIM,Netherlands,Y
DSH,"",Dash Air Charter,DASH CHARTER,United States,N
EGY,"",Egyptian Air Force,"",Egypt,N
EIA,EZ,Evergreen International Airlines,EVERGREEN,United States,Y
EMB,"",Empresa Brasileira De Aeronautica,EMBRAER,Brazil,N
ERG,"",Avianergo,AVIANERGO,Russia,N
ERM,"",Aeromaan,EOMAAN,Mexico,N
ESF,E7,Estafeta Carga Aerea,"",Mexico,N
ETH,ET,Ethiopian Airlines,ETHIOPIAN,Ethiopia,Y
